bbox,text,conf
"[[527, 10], [808, 10], [808, 42], [527, 42]]",STREETEIGHT Academy,0.9998914195553733
"[[911, 15], [1011, 15], [1011, 51], [911, 51]]",01.49,0.911922387841026
"[[1052, 12], [1082, 12], [1082, 48], [1052, 48]]",4,0.999999880790714
"[[1110, 9], [1388, 9], [1388, 42], [1110, 42]]",CYBERSHOKE Academy,0.9310843798245985
"[[914, 56], [1008, 56], [1008, 82], [914, 82]]",best of 3,0.9679293699659015
"[[1632, 68], [1696, 68], [1696, 92], [1632, 92]]",zlewis,0.9941094332477973
"[[1827, 66], [1888, 66], [1888, 94], [1827, 94]]",packo,0.9993695086458986
"[[1626, 112], [1691, 112], [1691, 140], [1626, 140]]",~packo,0.5110985864665932
"[[1822, 112], [1891, 112], [1891, 141], [1822, 141]]",darzyy,0.9989958380176384
"[[138, 412], [174, 412], [174, 420], [138, 420]]",Ten,0.012846857059446617
"[[137, 421], [195, 421], [195, 441], [137, 441]]",EpIC,0.325741708278656
"[[1645, 421], [1675, 421], [1675, 437], [1645, 437]]",30,0.6035666914877763
"[[1686, 412], [1730, 412], [1730, 444], [1686, 444]]",VK,0.9704449631866777
"[[1790, 416], [1876, 416], [1876, 448], [1790, 448]]",Apeha,0.9232831692165598
"[[140, 438], [264, 438], [264, 462], [140, 462]]",1CADEMY,0.5201975711520963
"[[1687, 451], [1839, 451], [1839, 469], [1687, 469]]",Komnbiotephumm Kny6,0.12265549610786498
"[[150, 462], [242, 462], [242, 470], [150, 470]]",@a  OrferadrLaT,0.0005928441890603459
"[[136, 536], [276, 536], [276, 562], [136, 562]]",[STR8] Nitaro,0.42357788640011723
"[[1454, 538], [1494, 538], [1494, 562], [1454, 562]]",02,0.9938156769029578
"[[1660, 536], [1776, 536], [1776, 562], [1660, 562]]",[SHOKE] nia,0.9065184363023798
"[[1539, 565], [1609, 565], [1609, 605], [1539, 605]]",1 [,0.49070000648498535
"[[138, 602], [198, 602], [198, 626], [138, 626]]",5400,0.9575006365776062
"[[352, 602], [396, 602], [396, 626], [352, 626]]",100,0.8774117301627861
"[[424, 602], [466, 602], [466, 626], [424, 626]]",100L,0.1220322921872139
"[[1454, 602], [1526, 602], [1526, 626], [1454, 626]]",S6800,0.5685826989469017
"[[1668, 602], [1712, 602], [1712, 626], [1668, 626]]",100,0.9994046142174569
"[[1738, 602], [1784, 602], [1784, 626], [1738, 626]]",100t,0.10141534358263016
"[[138, 644], [278, 644], [278, 670], [138, 670]]",[STR8] cosmos,0.7933895527858286
"[[1454, 646], [1494, 646], [1494, 670], [1454, 670]]",02,0.6301831974958472
"[[1608, 642], [1777, 642], [1777, 672], [1608, 672]]",TSHOKE] cLouding,0.6047996559398996
"[[138, 710], [210, 710], [210, 734], [138, 734]]",51200,0.7307832377369197
"[[352, 710], [398, 710], [398, 734], [352, 734]]",100,0.9991842557555104
"[[422, 710], [468, 710], [468, 734], [422, 734]]",1001,0.5601798892021179
"[[1456, 710], [1526, 710], [1526, 734], [1456, 734]]",S6400,0.7669926784387108
"[[1669, 711], [1711, 711], [1711, 731], [1669, 731]]",100,0.9997145172221528
"[[1740, 710], [1784, 710], [1784, 734], [1740, 734]]",1001,0.3165129651733061
"[[138, 752], [264, 752], [264, 778], [138, 778]]",[STR8] zlewis,0.7256654373872596
"[[415, 757], [465, 757], [465, 777], [415, 777]]",010,0.9981045796613923
"[[1454, 754], [1494, 754], [1494, 778], [1454, 778]]",05,0.9981847966801992
"[[1578, 752], [1776, 752], [1776, 778], [1578, 778]]",[SHOKE] ww fANTIM,0.536661112844039
"[[138, 818], [198, 818], [198, 842], [138, 842]]",5300,0.5689448118209839
"[[352, 818], [396, 818], [396, 842], [352, 842]]",7100,0.43111446499824524
"[[422, 818], [468, 818], [468, 842], [422, 842]]",7100,0.3486604392528534
"[[1454, 818], [1526, 818], [1526, 842], [1454, 842]]",S4600,0.8485934564960144
"[[1668, 818], [1712, 818], [1712, 842], [1668, 842]]",100,0.9951683878898621
"[[1740, 818], [1782, 818], [1782, 842], [1740, 842]]",100,0.3937719622396118
"[[1454, 862], [1494, 862], [1494, 886], [1454, 886]]",03,0.9828211589750331
"[[1619, 858], [1776, 858], [1776, 887], [1619, 887]]",[SHOKE] Jumper,0.9702305621560775
"[[19, 879], [133, 879], [133, 915], [19, 915]]",match3,0.9967909085725669
"[[1454, 926], [1526, 926], [1526, 950], [1454, 950]]",53700,0.9781976988145071
"[[1668, 926], [1712, 926], [1712, 950], [1668, 950]]",7100;,0.16582882388776043
"[[1738, 926], [1784, 926], [1784, 950], [1738, 950]]",7100,0.23552274703979492
"[[1730.1970684086418, 409.1094462711102], [1792.872221018598, 419.1337746134387], [1786.8029315913582, 450.8905537288898], [1724.127778981402, 439.8662253865613]]",Play,0.9995918273925781
